,,,,,,,,,
COORDINACIÓN GENERAL DE CONTENIDOS,,,,,,,,,
SALÓN UXMAL 3,,,,,,,,,
Horario,Sábado 13,Domingo 14,Lunes 15,Martes 16,Miércoles 17,Jueves 18,Viernes 19,Sábado 20,Domingo 21
,,,,,   II Foro                           Información y Conocimiento Sistema Bibliotecario de la UADY                9 a 14 horas,,,,
10:00 - 11:00,Conversatorio Investigación: Experiencia turística en estaciones del tren maya                               UTM,Mesa redonda               Cinco clásicos centenarios                 CIR Sociales-UADY,Charla                                 Los desafíos de la lectura en la era digital Comunidad Estudiantil Alianz,Conferencia               Presentando el nuevo capítulo de los ebooks                 Independiente,,Encuentro                        Jóvenes con               Ana Elsa Pérez                CEPE-UNAM y FILEY-UADY              ,,XVIII                                                                                                            Congreso Internacional de Literatura            UC-Mexicanistas     10:00 a 14:00 horas,
11:15 - 12:15,Presentación del libro Donde la naturaleza habla maya: exlorando la Península de Yucatán                       ENES Mérida-UNAM,Lectura de obra Espejismo literarios Vol. IV                             Taller de Escritura,Encuentro                     Los clubes de lectura conversan sobre Todos los fines del mundo de Andrea Chapela                          Literatura Random House-PRH y             FILEY-UADY                 ,Presentación de revista Colectivero            Colectivero,,,,,
12:30 - 13:30,,,,,,,,,
13:45 - 15:45,RECESO,,,,,,,,
16:15 - 17:15,,,,,,,,,
17:30 - 18:30,,,,,,,,,
18:45 - 19:45,,,,,,,,,
20:00 - 21:00,,,,,,,,,Sin evento
