,,,,,,,,,
COORDINACIÓN GENERAL DE CONTENIDOS,,,,,,,,,
SALÓN DZIBILCHALTÚN,,,,,,,,,
Horario,Sábado 13,Domingo 14,Lunes 15,Martes 16,Miércoles 17,Jueves 18,Viernes 19,Sábado 20,Domingo 21
,,,,,,,,,
10:15 - 11:15,Actividad                     10:00 - 11:00,Actividad                     10:00 - 11:00,,,,,,Actividad                     10:00 - 11:00,Actividad                     10:00 - 11:00
11:30 - 12:30,Actividad                     12:00 - 13:00                    Firma de libros                       13:00 - 15:00,Actividad                     12:00 - 13:00                    Firma de libros                       13:00 - 15:00,,,,,,Actividad                     12:00 - 13:00                    Firma de libros                       13:00 - 15:00,Actividad                     12:00 - 13:00                    Firma de libros                       13:00 - 15:00
12:45 - 13:45,,,,,,,,,
14:00 - 15:45,RECESO,,,,,,,,
16:15 - 17:15,Actividad                     15:30 - 16:30                    Firma de libros                       16:30 - 18:30,Actividad                     15:30 - 16:30                    Firma de libros                       16:30 - 18:30,,,XVIII                                                                                                    Congreso Internacional de Literatura            UC-Mexicanistas 16:00 a 21:00 horas,,,Actividad                     15:30 - 16:30                    Firma de libros                       16:30 - 18:30,Actividad                     15:30 - 16:30                    Firma de libros                       16:30 - 18:30
17:30 - 18:30,,,,,,,,,
18:45 - 19:45,Actividad                     19:00 - 20:00                    Firma de libros                       20:00 - 21:30,Actividad                     19:00 - 20:00                    Firma de libros                       20:00 - 21:30,,,,,,Actividad                     19:00 - 20:00                    Firma de libros                       20:00 - 21:30,Actividad                     19:00 - 20:00                    Firma de libros                       20:00 - 21:30
20:00 - 21:00,,,,,,,,,
